p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
2.91008337168997e-100	1.88414345798782	0.109	0.047	5.46484556369659e-96	3	Cpe
1.72419243678979e-290	1.8691786488594	0.288	0.129	3.23786097704754e-286	3	Cd36
1.1443739596705e-150	2.95151469882185	0.052	0.01	2.14901985886523e-146	4	Gm36372
1.04266247937313e-64	2.70254396403211	0.025	0.006	1.95801587001481e-60	4	2010203P06Rik
2.60654909353251e-176	2.70075675309269	0.076	0.018	4.89483854274471e-172	4	Gm10639
4.22020271236803e-283	2.63397899581889	0.127	0.032	7.92511867355592e-279	4	Gm11837
3.9939486067044e-67	2.60052516523751	0.025	0.005	7.50023608853019e-63	4	Fabp1
1.13714843871688e-43	2.39713146738792	0.026	0.008	2.13545105306642e-39	4	Speg
3.86485012144579e-36	2.37146171005069	0.025	0.008	7.25780204306304e-32	4	Ccdc151
2.37435592173841e-32	2.3617772086097	0.026	0.009	4.45880298543256e-28	4	Car3
7.58953051831575e-18	2.3431091794293	0.011	0.003	1.42523793603451e-13	4	Snca
0	2.33887932356424	0.439	0.192	0	4	Gsta2
3.89714394389791e-159	3.07119315651049	0.031	0.003	7.31844661224589e-155	5	Cdh2
3.85115327543289e-172	3.06549163847233	0.029	0.003	7.23208073593542e-168	5	Stra6
0	2.96106665042081	0.14	0.018	0	5	Ugt2b34
0	2.74071190198592	0.612	0.157	0	5	Slc5a2
0	2.63900650310835	0.584	0.166	0	5	Spp2
3.71968060786654e-50	2.55062525530294	0.016	0.003	6.98518821351258e-46	5	Agmo
0	2.45374037443839	0.137	0.024	0	5	Gc
0	2.45247751673505	0.222	0.044	0	5	Gldc
0	2.39266735659628	0.314	0.076	0	5	Dpep1
0	2.36053992637863	0.183	0.034	0	5	Slc34a3
0	6.69956029188363	0.041	0	0	6	Grin3a
0	6.44027201684209	0.023	0	0	6	Adamtsl3
6.29189509485268e-186	6.12890033293119	0.015	0	1.18155497986239e-181	6	5330417C22Rik
0	5.88506882784357	0.066	0.001	0	6	Lrrn1
0	5.83622878499326	0.039	0.001	0	6	Hmgcll1
0	5.66370804022294	0.625	0.032	0	6	Pvalb
7.56804595300322e-161	5.62381144476238	0.014	0	1.42120334951448e-156	6	Odf4
0	5.54217828707945	0.876	0.091	0	6	Slc12a3
2.71589985087093e-294	5.39598766253186	0.024	0	5.10018832995053e-290	6	Nog
0	5.38670698975981	0.104	0.002	0	6	Lrrc52
1.28239403912344e-201	8.49596987533362	0.014	0	2.4082077660699e-197	7	Il23r
1.72072449087439e-191	8.02811150770596	0.013	0	3.23134852141302e-187	7	Il17a
2.41181733447357e-215	7.92566125447229	0.014	0	4.52915177240791e-211	7	Gm43698
0	7.81001386032225	0.042	0.001	0	7	Cd163l1
4.15218989687564e-188	7.45539663762086	0.013	0	7.79739740734277e-184	7	Ptprz1
3.27520402159147e-301	7.45374257260148	0.021	0	6.15050563214662e-297	7	Prr29
0	7.33463814231512	0.034	0	0	7	St6galnac1
3.56879785906942e-138	7.18753920185549	0.011	0	6.70184549954647e-134	7	Gpr83
1.3537701846973e-168	7.03961103537299	0.013	0	2.54224502984307e-164	7	Trdv4
0	7.03225984767963	0.128	0.001	0	7	Ccr6
5.33180226283612e-247	8.26036287469117	0.017	0	1.00125914693799e-242	8	Trav11
0	7.2766142373205	0.092	0.001	0	8	Gzmk
9.41152107209794e-149	6.96083016947151	0.013	0	1.76738954212927e-144	8	Trav16
6.78605472338226e-308	6.36928702230094	0.028	0	1.27435321650396e-303	8	Mmp9
0	6.26796481458085	0.285	0.006	0	8	Cxcr3
0	6.01980880714025	0.097	0.002	0	8	Cd160
4.73204673272283e-104	5.98790123951208	0.01	0	8.88631055938019e-100	8	Dmrta1
2.57321783161662e-141	5.9690210571321	0.014	0	4.83224576599286e-137	8	Gm35363
